Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,2330.TW,NVDA,2330.TW,NVDA,2330.TW,NVDA,2330.TW,NVDA,2330.TW,NVDA
Date,,,,,,,,,,
2011-01-03,1.4027057647705077,0.3627071976661682,47.08566937300521,0.366146263859208,46.55957550764109,0.3553705012560018,47.019908266991045,0.3558290652800886,35149000.0,817448000.0
2011-01-04,1.404678497314453,0.3615608811378479,47.085665999610036,0.36499994770060223,46.55957217193727,0.3535363924914211,46.69109437454286,0.36339505543757117,35448000.0,651384000.0
2011-01-05,1.3770587539672852,0.3893026113510132,46.75686295373945,0.3897611753250696,45.77043122468481,0.36454133199638716,46.625340730099325,0.36820965246997933,51755000.0,1428216000.0
2011-01-06,1.4007330322265625,0.44318151473999023,46.69110107421875,0.4434107968050944,45.836191582860764,0.3982443344877398,45.901957710850716,0.3993906901507109,46666000.0,3493312000.0
2011-01-07,1.4303261947631836,0.4555619955062866,48.00635044492524,0.45693763270051047,47.28296808550688,0.42827872491678576,47.28296808550688,0.438137385258685,169755000.0,2579984000.0
2011-01-10,1.4638649368286132,0.47298678755760193,48.79549789428712,0.473903861152074,47.74330482978743,0.4438693319609046,48.00635435022542,0.447308398937087,66767000.0,1750348000.0
2011-01-11,1.4697833633422852,0.46564996242523193,49.255828258187286,0.4839917026229203,48.53244595082036,0.4555620463134043,48.72972929796506,0.47940628123913187,81911000.0,2711088000.0
2011-01-12,1.4776749801635742,0.5353483557701111,49.321593793727054,0.535806865016688,49.124305411651356,0.4642742842734965,49.124305411651356,0.4658791759615623,53397000.0,3431896000.0
2011-01-13,1.4717562103271484,0.5362653732299805,49.51887819297236,0.5465825954817547,48.79549086171189,0.5131089641446169,49.38735094308338,0.5296164978824486,92995000.0,2695192000.0
2011-01-14,1.4757021331787108,0.5408511161804199,49.19007110595703,0.5497927068500326,48.72973322435802,0.5238850631118347,48.927021604650726,0.5270948480714237,28681000.0,1595352000.0
2011-01-17,1.4954304885864258,,49.913444061496605,,49.518872392551174,,49.58463350116692,,67207000.0,
2011-01-18,1.5151596450805664,0.5282410383224487,50.89989330779582,0.5371826266545399,49.4531233327212,0.5151725925015272,49.650411743902694,0.5335142785186151,56518000.0,1813348000.0
2011-01-19,1.5388333511352539,0.513796865940094,51.49173337181072,0.5410801355538263,50.373774508071406,0.5126505380942575,50.57106284204033,0.5284702559369923,86839000.0,1197896000.0
2011-01-20,1.5072673416137694,0.5142555236816406,50.63681631164518,0.517236053152033,50.044956416240886,0.49958213100815896,50.63681631164518,0.5087530287603533,43578000.0,1111408000.0
2011-01-21,1.4717562103271484,0.5094407200813293,49.45311205940209,0.5270946397053905,48.66396862907448,0.5085236468357683,48.66396862907448,0.5197579444158449,81340000.0,739244000.0
2011-01-24,1.4855661392211914,0.5669878721237183,49.58463241454767,0.5743245677618924,49.05853352264894,0.5268654100954746,49.45310518294755,0.5328264138061434,40750000.0,2056900000.0
2011-01-25,1.4796474838256835,0.5495631098747253,49.9134427911699,0.5704267537818274,49.25582168724737,0.5458947630642692,49.9134427911699,0.5644656970476507,43750000.0,1086856000.0
2011-01-26,1.4717562103271484,0.5626318454742432,49.45311205940209,0.5731783275762469,48.86125699528217,0.551397544568844,49.05854034423828,0.555295148013055,66493000.0,1074660000.0
2011-01-27,1.4835935211181641,0.5610268115997314,49.58464463462032,0.572031800352272,49.19007287708,0.5502510775029639,49.25583400046136,0.5706562177551028,69734000.0,657396000.0
2011-01-28,1.505295295715332,0.5447487235069275,50.57108165464682,0.5718027504257343,49.25583898491479,0.5319095289236422,49.45312237502303,0.562402650223039,97365000.0,1094796000.0
2011-01-31,,0.5484169125556946,,0.5559828633221235,,0.5367241043996385,,0.5456656925167881,,750160000.0
2011-02-01,,0.5610268115997314,,0.5651536687163013,,0.5495632588731137,,0.5532316066781376,,654104000.0
2011-02-02,,0.5864759683609009,,0.600002977702329,,0.557817057676524,,0.557817057676524,,1606616000.0
2011-02-03,,0.575471043586731,,0.5873931633967636,,0.5628611049674621,,0.5873931633967636,,1030776000.0
2011-02-04,,0.5885395407676697,,0.593124963436999,,0.5812028972942727,,0.5834956086289373,,872900000.0
2011-02-07,,0.5640072226524353,,0.5830367216594436,,0.5619437671950431,,0.5805147569865331,,934236000.0
