Date,INFY.NS
2008-01-01,150.6441650390625
2008-01-02,150.7692108154297
2008-01-03,147.38438415527344
2008-01-04,146.1641387939453
2008-01-07,141.15797424316406
2008-01-08,143.34844970703125
2008-01-09,142.5464324951172
2008-01-10,138.2000732421875
2008-01-11,136.4063262939453
2008-01-14,131.900390625
2008-01-15,129.53750610351562
2008-01-16,128.95111083984375
2008-01-17,128.52850341796875
2008-01-18,126.63129425048828
2008-01-21,119.96513366699219
2008-01-22,119.08550262451172
2008-01-23,122.62985229492188
2008-01-24,122.67731475830078
2008-01-25,131.06822204589844
2008-01-28,124.7297592163086
2008-01-29,128.71823120117188
2008-01-30,128.77426147460938
2008-01-31,129.27447509765625
2008-02-01,137.5144805908203
2008-02-04,141.43399047851562
2008-02-05,138.78213500976562
2008-02-06,130.21446228027344
2008-02-07,127.83432006835938
2008-02-08,133.87094116210938
2008-02-11,134.35385131835938
2008-02-12,133.25868225097656
2008-02-13,133.27159118652344
2008-02-14,133.3880157470703
2008-02-15,134.996337890625
2008-02-18,134.1123809814453
2008-02-19,134.22882080078125
2008-02-20,135.29818725585938
2008-02-21,140.3560028076172
2008-02-22,136.3114776611328
2008-02-25,139.28668212890625
2008-02-26,143.40020751953125
2008-02-27,139.61004638671875
2008-02-28,137.92410278320312
2008-02-29,133.51303100585938
2008-03-03,126.58816528320312
2008-03-04,122.37545776367188
2008-03-05,127.52816772460938
2008-03-07,123.36724853515625
2008-03-10,123.41461944580078
2008-03-11,123.0050048828125
2008-03-12,119.45203399658203
2008-03-13,115.36001586914062
2008-03-14,118.16279602050781
2008-03-17,115.36869049072266
2008-03-18,113.36796569824219
2008-03-19,115.87745666503906
2008-03-24,117.3219223022461
2008-03-25,128.69239807128906
2008-03-26,129.31329345703125
2008-03-27,124.3330307006836
2008-03-28,131.1846466064453
2008-03-31,124.17355346679688
2008-04-01,122.72039794921875
2008-04-02,127.87311553955078
2008-04-03,131.29673767089844
2008-04-04,128.10162353515625
2008-04-07,128.67079162597656
2008-04-08,126.50625610351562
2008-04-09,127.6273193359375
2008-04-10,125.26871490478516
2008-04-11,122.62125396728516
2008-04-15,130.25328063964844
2008-04-16,137.99737548828125
2008-04-17,143.07676696777344
2008-04-21,141.9298553466797
2008-04-22,137.8594207763672
2008-04-23,142.11520385742188
2008-04-24,146.26324462890625
2008-04-25,145.25
2008-04-28,143.46917724609375
2008-04-29,150.87701416015625
2008-04-30,151.18312072753906
2008-05-02,154.14540100097656
2008-05-05,154.0160369873047
2008-05-06,155.87017822265625
2008-05-07,159.03509521484375
2008-05-08,153.9039306640625
2008-05-09,150.8597412109375
2008-05-12,152.9337615966797
2008-05-13,150.80801391601562
2008-05-14,157.37498474121094
2008-05-15,163.2563934326172
2008-05-16,161.38504028320312
2008-05-20,162.79074096679688
2008-05-21,161.32037353515625
2008-05-22,160.7167205810547
2008-05-23,157.7069854736328
2008-05-26,162.56219482421875
2008-05-27,162.3939971923828
2008-05-28,164.851806640625
2008-05-29,164.94802856445312
2008-05-30,171.7149658203125
2008-06-02,170.66513061523438
2008-06-03,168.16749572753906
2008-06-04,163.65760803222656
2008-06-05,173.18031311035156
2008-06-06,174.40509033203125
2008-06-09,166.35215759277344
2008-06-10,162.2010040283203
2008-06-11,165.59542846679688
2008-06-12,164.0250701904297
2008-06-13,163.30332946777344
2008-06-16,166.90328979492188
2008-06-17,167.23141479492188
2008-06-18,162.93589782714844
2008-06-19,162.93150329589844
2008-06-20,159.83450317382812
2008-06-23,161.47921752929688
2008-06-24,156.9868927001953
2008-06-25,152.81390380859375
2008-06-26,156.1688995361328
2008-06-27,149.2007293701172
2008-06-30,151.94342041015625
2008-07-01,150.2112579345703
2008-07-02,159.27462768554688
2008-07-03,152.49021911621094
2008-07-04,153.60565185546875
2008-07-07,157.4549560546875
2008-07-08,151.92596435546875
2008-07-09,159.38836669921875
2008-07-10,157.93177795410156
2008-07-11,146.69869995117188
