Date,HDFCBANK.NS
2008-01-01,152.1926727294922
2008-01-02,150.94313049316406
2008-01-03,149.10397338867188
2008-01-04,149.2799530029297
2008-01-07,145.67201232910156
2008-01-08,150.98272705078125
2008-01-09,153.52145385742188
2008-01-10,151.53269958496094
2008-01-11,155.27703857421875
2008-01-14,156.91375732421875
2008-01-15,157.4241943359375
2008-01-16,147.2867889404297
2008-01-17,144.63365173339844
2008-01-18,138.24496459960938
2008-01-21,132.6218719482422
2008-01-22,125.5204849243164
2008-01-23,135.01548767089844
2008-01-24,132.9123077392578
2008-01-25,141.54049682617188
2008-01-28,139.93453979492188
2008-01-29,135.2838592529297
2008-01-30,134.89666748046875
2008-01-31,138.11740112304688
2008-02-01,138.24496459960938
2008-02-04,136.1682586669922
2008-02-05,133.0751190185547
2008-02-06,132.00592041015625
2008-02-07,131.27554321289062
2008-02-08,126.88885498046875
2008-02-11,124.14330291748047
2008-02-12,123.87054443359375
2008-02-13,129.22518920898438
2008-02-14,135.20469665527344
2008-02-15,137.4749755859375
2008-02-18,136.9998321533203
2008-02-19,138.32421875
2008-02-20,135.2706756591797
2008-02-21,135.5918426513672
2008-02-22,129.73556518554688
2008-02-25,125.11126708984375
2008-02-26,128.02841186523438
2008-02-27,127.79961395263672
2008-02-28,129.58160400390625
2008-02-29,128.1912078857422
2008-03-03,122.30854797363281
2008-03-04,118.95143127441406
2008-03-05,117.27943420410156
2008-03-07,112.8355712890625
2008-03-10,115.40950012207031
2008-03-11,117.31905364990234
2008-03-12,120.60577392578125
2008-03-13,114.3227310180664
2008-03-14,115.757080078125
2008-03-17,107.8856430053711
2008-03-18,108.32125854492188
2008-03-19,111.98636627197266
2008-03-24,118.08464050292969
2008-03-25,124.42930603027344
2008-03-26,126.64685821533203
2008-03-27,126.11885070800781
2008-03-28,123.8133316040039
2008-03-31,117.1474380493164
2008-04-01,115.23789978027344
2008-04-02,116.8614501953125
2008-04-03,117.138671875
2008-04-04,113.85633850097656
2008-04-07,114.69670104980469
2008-04-08,115.14988708496094
2008-04-09,121.42416381835938
2008-04-10,116.73387145996094
2008-04-11,117.0418701171875
2008-04-15,114.68792724609375
2008-04-16,115.12789916992188
2008-04-17,123.30292510986328
2008-04-21,128.543212890625
2008-04-22,132.7230987548828
2008-04-23,127.18804168701172
2008-04-24,126.94600677490234
2008-04-25,132.03231811523438
2008-04-28,134.05189514160156
2008-04-29,136.9676971435547
2008-04-30,134.87486267089844
2008-05-02,136.31283569335938
2008-05-05,135.2642364501953
2008-05-06,136.52964782714844
