Date,RELIANCE.NS
2008-01-01,265.6072692871094
2008-01-02,266.8661804199219
2008-01-03,270.7781982421875
2008-01-04,279.1055908203125
2008-01-07,281.64678955078125
2008-01-08,284.85467529296875
2008-01-09,282.8963623046875
2008-01-10,282.3508605957031
2008-01-11,291.6575012207031
2008-01-14,300.353271484375
2008-01-15,295.1964416503906
2008-01-16,288.49151611328125
2008-01-17,279.43670654296875
2008-01-18,261.0705871582031
2008-01-21,236.93673706054688
2008-01-22,219.8388671875
2008-01-23,237.8599395751953
2008-01-24,232.0968780517578
2008-01-25,243.89332580566406
2008-01-28,239.32400512695312
2008-01-29,240.30316162109375
2008-01-30,230.5115966796875
2008-01-31,231.16436767578125
2008-02-01,237.11854553222656
2008-02-04,241.63665771484375
2008-02-05,244.05197143554688
2008-02-06,238.02781677246094
2008-02-07,226.1800537109375
2008-02-08,226.26861572265625
2008-02-11,212.33665466308594
2008-02-12,216.79884338378906
2008-02-13,222.8275909423828
2008-02-14,234.69400024414062
2008-02-15,241.8931121826172
2008-02-18,238.13970947265625
2008-02-19,238.21893310546875
2008-02-20,231.6399383544922
2008-02-21,232.78700256347656
2008-02-22,227.01930236816406
2008-02-25,237.9298553466797
2008-02-26,240.2798309326172
2008-02-27,241.3802490234375
2008-02-28,236.2327117919922
2008-02-29,229.72361755371094
2008-03-03,215.04098510742188
2008-03-04,209.18470764160156
2008-03-05,213.805419921875
2008-03-07,209.6555938720703
2008-03-10,212.10821533203125
2008-03-11,218.9482879638672
2008-03-12,221.43814086914062
2008-03-13,209.17074584960938
2008-03-14,216.5889892578125
2008-03-17,203.309814453125
2008-03-18,200.58677673339844
2008-03-19,201.34210205078125
2008-03-24,205.17950439453125
2008-03-25,215.7683563232422
2008-03-26,214.43020629882812
2008-03-27,211.75848388671875
2008-03-28,219.37258911132812
2008-03-31,211.29222106933594
2008-04-01,218.70114135742188
2008-04-02,218.54263305664062
2008-04-03,223.43838500976562
2008-04-04,216.45375061035156
2008-04-07,224.2636260986328
2008-04-08,222.10487365722656
2008-04-09,225.5086212158203
2008-04-10,230.20855712890625
2008-04-11,237.93919372558594
2008-04-15,243.55764770507812
2008-04-16,246.42056274414062
2008-04-17,246.1920623779297
2008-04-21,246.5231170654297
2008-04-22,243.14273071289062
2008-04-23,240.36846923828125
2008-04-24,240.8394012451172
2008-04-25,244.74200439453125
2008-04-28,241.65536499023438
2008-04-29,248.04779052734375
2008-04-30,243.80947875976562
2008-05-02,249.42796325683594
2008-05-05,248.91043090820312
2008-05-06,247.1199493408203
2008-05-07,250.7521514892578
2008-05-08,251.3617706298828
2008-05-09,238.2765655517578
2008-05-12,240.67501831054688
2008-05-13,235.7038116455078
2008-05-14,238.49803161621094
2008-05-15,247.18699645996094
2008-05-16,248.38851928710938
2008-05-20,245.3021240234375
2008-05-21,251.4041748046875
2008-05-22,247.47911071777344
2008-05-23,240.8964385986328
2008-05-26,237.07029724121094
2008-05-27,235.13839721679688
2008-05-28,237.72055053710938
2008-05-29,232.0850067138672
2008-05-30,226.50596618652344
2008-06-02,222.29345703125
2008-06-03,226.80279541015625
2008-06-04,217.41177368164062
2008-06-05,211.73855590820312
2008-06-06,210.9563446044922
2008-06-09,203.81295776367188
2008-06-10,207.1160888671875
2008-06-11,213.11444091796875
2008-06-12,214.61289978027344
2008-06-13,213.96261596679688
2008-06-16,215.08877563476562
2008-06-17,219.85264587402344
2008-06-18,215.5364532470703
2008-06-19,211.8657684326172
2008-06-20,197.8286895751953
2008-06-23,190.90206909179688
2008-06-24,194.38897705078125
2008-06-25,201.29676818847656
2008-06-26,211.05532836914062
2008-06-27,205.69308471679688
2008-06-30,197.44705200195312
2008-07-01,192.64080810546875
2008-07-02,202.0506591796875
2008-07-03,195.0863494873047
2008-07-04,197.7062225341797
2008-07-07,191.13766479492188
2008-07-08,186.54347229003906
2008-07-09,195.93919372558594
2008-07-10,192.8764190673828
2008-07-11,189.9973602294922
2008-07-14,192.57481384277344
2008-07-15,186.35028076171875
2008-07-16,183.15554809570312
2008-07-17,190.228271484375
2008-07-18,199.14808654785156
