Date,ICICIBANK.NS
2008-01-01,178.72715759277344
2008-01-02,184.32708740234375
2008-01-03,178.75619506835938
2008-01-04,187.09803771972656
2008-01-07,198.1888885498047
2008-01-08,194.90164184570312
2008-01-09,190.24710083007812
2008-01-10,197.2580108642578
2008-01-11,208.7270965576172
2008-01-14,205.0907440185547
2008-01-15,196.68348693847656
2008-01-16,199.0252685546875
2008-01-17,192.30531311035156
2008-01-18,180.3634490966797
2008-01-21,170.64712524414062
2008-01-22,163.6289520263672
2008-01-23,167.48348999023438
2008-01-24,164.63259887695312
2008-01-25,183.461669921875
2008-01-28,185.30165100097656
2008-01-29,177.5198516845703
2008-01-30,172.71253967285156
2008-01-31,166.83621215820312
2008-02-01,174.2762451171875
2008-02-04,176.3271026611328
2008-02-05,173.27984619140625
2008-02-06,167.57077026367188
2008-02-07,160.88711547851562
2008-02-08,156.20352172851562
2008-02-11,150.37802124023438
2008-02-12,155.23622131347656
2008-02-13,160.2616729736328
2008-02-14,168.9962158203125
2008-02-15,173.22166442871094
2008-02-18,175.97080993652344
2008-02-19,177.4834747314453
2008-02-20,169.93438720703125
2008-02-21,166.0071563720703
2008-02-22,159.9707794189453
2008-02-25,161.03262329101562
2008-02-26,162.5962371826172
2008-02-27,162.46530151367188
2008-02-28,160.8507537841797
2008-02-29,158.3271026611328
2008-03-03,149.03262329101562
2008-03-04,141.25079345703125
2008-03-05,139.6580810546875
2008-03-07,129.94898986816406
2008-03-10,126.81441497802734
2008-03-11,124.60353088378906
2008-03-12,128.04348754882812
2008-03-13,121.82536315917969
2008-03-14,127.55625915527344
2008-03-17,110.5380859375
2008-03-18,111.73809051513672
2008-03-19,111.73809051513672
2008-03-24,116.68352508544922
2008-03-25,127.83263397216797
2008-03-26,122.75624084472656
2008-03-27,121.38895416259766
2008-03-28,121.52716064453125
2008-03-31,111.91261291503906
2008-04-01,110.21810150146484
2008-04-02,114.11624145507812
2008-04-03,114.43626403808594
2008-04-04,111.20718383789062
2008-04-07,118.00716400146484
2008-04-08,118.39989471435547
2008-04-09,121.68714904785156
2008-04-10,116.50169372558594
2008-04-11,114.62533569335938
2008-04-15,117.49079895019531
2008-04-16,118.71263122558594
